TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
84937,1148,172,6167,1820,1104,19,38224
70305,1148,171,6167,1820,1103,20,38216
70355,1147,172,6167,1821,1102,19,38212
70317,1148,172,6167,1819,1101,18,38215
70316,1148,172,6167,1820,1103,19,38210
70368,1148,171,6167,1820,1106,20,38219
70317,1149,171,6168,1820,1103,20,38220
77265,1148,172,6167,1820,1105,19,38215
70332,1147,171,6167,1821,1108,19,38223
75886,1148,171,6167,1821,1105,19,38215
70432,1148,172,6167,1821,1104,19,38219
79839,1148,171,6167,1820,1104,19,38214
70443,1148,171,6167,1820,1105,19,38217
70268,1148,171,6167,1821,1103,19,38212
70318,1148,172,6167,1821,1102,19,38218
77715,1147,172,6167,1821,1103,19,38210
75746,1147,171,6167,1821,1102,19,38216
70406,1148,172,6168,1820,1104,19,38217
70406,1147,173,6167,1820,1105,18,38216
75698,1148,172,6167,1821,1104,19,38218
70457,1148,171,6167,1821,1104,19,38220
70493,1148,172,6167,1821,1104,19,38218
70304,1149,171,6168,1820,1104,19,38221
77226,1147,172,6166,1820,1103,19,38211
88882,1148,171,6167,1821,1106,19,38223
70408,1148,172,6166,1820,1104,19,38220
70456,1147,172,6166,1820,1105,20,38212
70405,1147,172,6167,1821,1105,19,38217
70406,1147,171,6167,1820,1105,20,38220
75809,1148,171,6167,1820,1103,19,38213
70393,1148,172,6167,1821,1106,19,38219
77277,1148,172,6167,1820,1105,19,38219
70330,1148,171,6166,1820,1105,19,38217
70420,1148,172,6167,1821,1102,19,38216
70382,1147,171,6167,1821,1105,19,38222
70393,1148,172,6167,1820,1107,19,38219
70381,1148,172,6167,1821,1106,19,38215
79725,1148,171,6167,1821,1104,18,38222
75959,1148,172,6167,1821,1103,18,38215
77278,1148,172,6166,1820,1102,20,38212
70468,1148,171,6167,1820,1103,19,38216
70304,1147,172,6167,1821,1106,19,38215
70306,1148,172,6167,1821,1102,19,38217
70355,1148,172,6168,1820,1103,19,38218
70354,1147,171,6167,1820,1104,20,38218
70381,1148,172,6167,1820,1102,18,38216
70316,1149,171,6166,1821,1105,19,38218
77239,1147,172,6166,1820,1104,18,38215
70369,1148,171,6167,1821,1103,20,38214
75872,1147,171,6166,1820,1103,20,38214
79852,1148,172,6167,1821,1102,19,38211
70381,1147,172,6167,1820,1104,19,38213
70343,1148,172,6167,1820,1105,19,38218
70306,1147,171,6167,1821,1103,18,38218
70317,1147,172,6166,1820,1103,19,38216
77239,1147,171,6166,1820,1105,20,38215
70356,1148,172,6166,1820,1108,19,38224
70420,1148,171,6166,1820,1104,19,38215
70419,1148,172,6167,1821,1102,19,38219
75873,1147,171,6166,1820,1102,19,38215
70406,1148,172,6167,1821,1105,19,38221
70305,1148,172,6167,1821,1103,20,38216
70355,1148,172,6167,1820,1103,19,38214
86608,1147,173,6167,1821,1103,20,38214
70393,1148,171,6167,1820,1105,20,38221
70407,1148,171,6167,1820,1105,19,38217
70407,1148,171,6167,1819,1104,19,38214
70406,1148,172,6167,1821,1104,19,38218
75722,1148,172,6167,1821,1103,19,38216
70355,1148,172,6167,1820,1104,19,38218
70355,1147,171,6167,1821,1104,19,38217
77214,1148,171,6167,1820,1107,19,38222
70331,1147,172,6167,1820,1104,19,38215
70481,1147,171,6167,1821,1105,19,38214
70356,1148,172,6167,1820,1104,19,38215
70407,1148,172,6167,1821,1103,19,38217
85353,1148,172,6166,1820,1104,19,38217
70342,1148,171,6167,1821,1105,19,38215
75771,1148,172,6167,1820,1102,19,38218
77265,1148,171,6167,1820,1105,19,38220
70431,1148,171,6167,1821,1102,20,38216
79600,1148,171,6167,1821,1104,19,38211
70431,1148,172,6167,1821,1105,19,38220
70431,1148,172,6167,1820,1105,19,38221
70370,1147,171,6166,1820,1102,18,38214
70418,1147,171,6167,1820,1102,19,38213
70329,1147,171,6167,1821,1103,18,38214
77241,1148,172,6167,1820,1102,19,38212
70355,1148,172,6167,1819,1103,20,38216
85243,1148,171,6167,1820,1101,19,38216
70307,1148,172,6168,1820,1104,20,38217
70294,1148,172,6167,1821,1103,19,38217
70282,1148,171,6167,1821,1103,19,38210
70230,1147,171,6167,1820,1103,19,38214
70243,1147,171,6166,1820,1105,19,38218
77152,1148,172,6167,1821,1101,19,38215
70293,1147,172,6167,1820,1103,19,38215
70344,1148,171,6166,1819,1102,19,38211
75584,1148,172,6167,1819,1105,19,38218
70357,1148,171,6167,1820,1103,19,38211
70369,1148,172,6167,1820,1104,20,38218
70279,1148,171,6167,1820,1106,19,38221
79572,1147,171,6167,1821,1104,19,38215
77192,1148,171,6167,1821,1104,19,38215
70355,1147,172,6167,1821,1105,20,38220
70357,1148,172,6166,1820,1104,19,38213
70369,1147,171,6167,1821,1102,19,38219
70331,1147,173,6167,1820,1105,19,38215
75772,1148,171,6168,1820,1104,19,38214
70356,1148,172,6166,1820,1101,19,38213
70369,1148,171,6167,1821,1105,19,38215
77177,1147,172,6166,1820,1105,19,38216
70281,1148,172,6167,1821,1102,19,38214
70432,1148,172,6167,1821,1103,20,38212
70344,1148,172,6167,1821,1105,19,38220
70319,1147,172,6167,1820,1105,20,38216
79689,1147,171,6167,1820,1104,20,38214
70342,1148,171,6167,1819,1105,19,38217
75683,1148,171,6167,1820,1105,19,38216
77265,1147,172,6167,1821,1104,19,38214
70394,1147,172,6167,1821,1105,19,38215
70293,1148,172,6167,1819,1102,19,38214
70382,1147,172,6166,1820,1103,19,38212
70433,1148,172,6166,1820,1104,19,38216
70418,1148,172,6167,1821,1104,19,38220
70330,1147,172,6167,1821,1104,19,38212
70380,1148,171,6167,1821,1105,19,38221
77251,1148,172,6168,1820,1106,18,38219
75984,1148,172,6167,1820,1103,19,38214
79876,1147,171,6166,1820,1101,19,38211
70394,1148,171,6167,1820,1106,18,38217
70406,1147,172,6167,1820,1104,19,38217
70381,1147,171,6166,1820,1101,19,38215
70330,1148,171,6167,1821,1103,19,38211
70341,1148,172,6167,1821,1104,19,38217
82643,1148,172,6167,1820,1101,19,38212
70330,1147,171,6167,1820,1102,19,38210
70431,1148,172,6167,1821,1105,19,38218
85430,1148,171,6168,1820,1103,19,38216
70431,1148,172,6167,1820,1104,19,38215
70407,1148,171,6167,1821,1107,19,38218
70418,1148,171,6167,1821,1103,20,38221
79749,1148,172,6166,1821,1102,19,38207
77290,1148,171,6166,1820,1105,18,38215
70406,1147,171,6167,1820,1104,20,38221
70420,1148,171,6167,1820,1104,19,38214
70418,1149,171,6167,1820,1105,19,38220
70419,1148,172,6167,1821,1102,19,38214
75748,1148,172,6167,1821,1104,19,38216
70417,1148,172,6167,1821,1104,19,38214
70418,1148,172,6166,1820,1104,19,38218
77151,1147,172,6166,1820,1105,19,38215
70344,1148,171,6166,1820,1105,19,38212
70394,1148,171,6167,1821,1103,19,38215
70394,1148,172,6167,1821,1102,18,38214
79850,1147,173,6167,1820,1104,19,38218
70406,1147,171,6167,1821,1104,20,38222
75772,1148,171,6166,1820,1104,19,38215
70355,1148,172,6166,1820,1104,19,38221
77327,1148,171,6168,1820,1104,19,38217
70342,1148,171,6166,1820,1104,19,38216
70432,1148,172,6167,1821,1103,20,38217
70357,1148,171,6167,1821,1105,19,38215
70444,1147,172,6167,1819,1103,19,38225
70394,1147,172,6167,1820,1104,20,38212
70293,1148,171,6167,1820,1104,20,38224
70341,1148,172,6167,1820,1103,19,38218
77252,1147,172,6167,1821,1106,19,38218
85203,1147,172,6167,1820,1105,19,38217
70444,1148,172,6167,1820,1103,19,38222
70407,1148,172,6167,1821,1104,20,38216
70394,1148,172,6167,1821,1103,19,38216
70418,1147,172,6167,1821,1106,19,38222
70380,1148,171,6166,1820,1104,19,38213
70430,1147,172,6167,1820,1103,19,38213
77289,1148,172,6167,1819,1104,19,38215
70381,1148,171,6167,1820,1103,19,38212
70383,1147,171,6167,1821,1105,19,38216
75847,1148,172,6167,1820,1104,19,38218
70494,1147,172,6167,1820,1104,19,38218
70418,1147,172,6166,1820,1104,20,38214
79611,1148,172,6167,1820,1105,19,38217
70318,1148,171,6167,1820,1105,19,38217
77240,1148,172,6167,1821,1105,19,38217
70404,1147,172,6167,1821,1104,19,38217
70444,1148,172,6166,1820,1103,20,38217
70420,1147,171,6167,1821,1106,19,38218
75885,1148,171,6167,1820,1104,19,38220
70405,1147,171,6166,1820,1106,19,38215
70367,1148,172,6168,1820,1105,20,38218
70318,1148,171,6167,1820,1102,19,38220
77267,1147,171,6167,1821,1103,19,38209
70342,1148,172,6168,1820,1104,19,38220
70382,1148,171,6166,1820,1102,19,38216
94736,1147,171,6167,1820,1104,19,38219
70369,1148,172,6167,1820,1102,19,38211
70380,1148,172,6167,1821,1104,20,38209
75621,1148,172,6167,1821,1103,19,38210
70355,1147,171,6167,1821,1104,19,38216
77278,1148,172,6167,1820,1105,18,38221
70343,1147,172,6167,1820,1102,19,38219
70394,1148,172,6167,1821,1103,19,38216
70394,1147,172,6167,1820,1104,20,38213
70406,1149,171,6168,1820,1101,19,38214
70394,1148,172,6167,1821,1104,19,38219
70331,1148,171,6167,1821,1102,19,38211
70342,1148,171,6167,1819,1105,19,38215
92237,1148,172,6167,1821,1105,20,38217
70380,1148,172,6168,1820,1105,18,38220
70430,1147,173,6167,1821,1105,19,38218
70307,1148,171,6167,1821,1100,20,38214
70445,1147,171,6167,1820,1103,19,38212
70406,1148,172,6168,1820,1105,19,38217
70317,1148,172,6167,1820,1104,19,38215
70330,1148,171,6167,1820,1104,20,38223
77239,1148,172,6167,1821,1106,19,38212
70406,1147,171,6166,1820,1106,19,38219
75697,1148,172,6166,1820,1105,19,38216
70444,1147,171,6167,1820,1104,19,38216
70431,1148,171,6167,1820,1105,18,38217
70355,1148,172,6167,1821,1104,19,38215
79662,1148,171,6167,1820,1106,19,38221
70330,1148,171,6167,1820,1103,20,38216
77302,1148,172,6166,1820,1104,19,38216
70355,1148,171,6167,1820,1105,19,38215
70369,1148,172,6167,1821,1103,19,38218
70406,1148,172,6167,1820,1104,20,38216
75837,1148,171,6167,1820,1105,19,38220
70393,1148,172,6167,1821,1104,19,38222
70405,1148,172,6166,1820,1102,19,38210
70268,1147,171,6167,1820,1103,18,38214
77215,1148,171,6167,1821,1104,19,38221
70331,1148,172,6167,1820,1103,20,38215
70394,1147,172,6167,1821,1104,19,38214
79812,1148,171,6168,1820,1107,19,38225
70431,1147,173,6167,1820,1105,19,38217
70343,1148,171,6167,1821,1103,19,38217
75808,1147,171,6167,1821,1103,19,38213
70356,1147,171,6167,1821,1102,20,38209
77277,1148,172,6167,1821,1104,19,38212
70205,1147,171,6167,1821,1105,20,38219
70381,1148,172,6167,1821,1105,19,38216
70381,1148,172,6166,1820,1105,20,38219
70395,1147,171,6167,1821,1103,20,38213
70369,1148,172,6167,1820,1105,19,38220
70317,1148,172,6167,1821,1104,19,38217
70330,1148,172,6167,1820,1104,19,38217
92038,1147,171,6166,1821,1103,19,38214
70419,1148,172,6167,1821,1106,20,38216
70382,1147,171,6166,1820,1104,19,38214
70369,1148,172,6167,1821,1105,19,38215
79526,1148,171,6167,1820,1100,19,38211
70358,1147,171,6167,1820,1103,19,38214
70280,1148,172,6168,1820,1104,19,38219
70794,1148,172,6166,1820,1102,19,38214
82493,1148,172,6167,1821,1101,19,38214
70317,1148,172,6167,1821,1104,19,38214
75847,1148,172,6167,1821,1103,19,38214
70433,1148,172,6166,1820,1105,20,38216
70432,1148,172,6167,1820,1100,19,38207
79724,1148,171,6167,1820,1106,20,38214
70317,1148,172,6167,1821,1105,19,38220
70356,1148,171,6167,1820,1105,19,38217
77239,1148,172,6167,1819,1102,19,38214
70356,1148,171,6167,1820,1103,19,38214
70420,1148,172,6166,1820,1104,18,38216
70369,1148,171,6168,1820,1101,19,38210
75710,1148,172,6167,1820,1106,20,38217
70405,1148,172,6167,1821,1105,18,38220
70354,1147,171,6167,1820,1105,19,38216
70318,1147,171,6167,1820,1104,19,38221
77214,1147,172,6167,1821,1106,19,38216
70344,1148,172,6166,1820,1104,19,38217
79800,1147,171,6167,1821,1104,19,38220
70407,1148,172,6167,1819,1106,19,38220
70420,1148,171,6167,1820,1103,19,38213
75911,1148,172,6168,1820,1103,21,38216
70393,1148,171,6167,1820,1104,20,38217
70356,1148,172,6167,1821,1104,19,38222
77264,1148,172,6167,1820,1103,19,38215
70331,1147,171,6167,1821,1104,19,38216
70432,1147,171,6166,1820,1103,19,38213
70394,1147,172,6166,1820,1105,19,38213
70356,1147,173,6166,1820,1103,19,38216
70294,1148,171,6167,1821,1105,19,38217
70329,1148,171,6168,1820,1103,19,38212
85327,1147,171,6167,1821,1103,19,38211
77264,1148,172,6168,1820,1104,19,38215
70480,1148,172,6167,1821,1104,19,38220
70394,1148,172,6166,1820,1101,19,38213
70383,1148,171,6167,1820,1105,19,38214
70393,1149,171,6168,1820,1105,19,38219
70369,1147,171,6167,1821,1103,18,38213
70368,1148,171,6167,1820,1104,19,38216
70329,1149,171,6168,1820,1105,19,38217
77239,1148,171,6167,1820,1105,19,38219
70357,1148,172,6167,1821,1103,19,38214
75848,1148,171,6167,1820,1105,19,38218
70431,1147,171,6167,1820,1103,19,38216
79637,1148,172,6167,1820,1104,20,38217
70282,1148,172,6167,1821,1102,19,38214
70230,1147,171,6167,1821,1103,19,38217
70241,1147,171,6167,1820,1105,19,38217
77203,1147,171,6166,1820,1103,19,38207
70279,1147,172,6167,1821,1106,19,38216
70332,1147,171,6167,1821,1106,19,38221
75735,1147,172,6167,1821,1106,19,38218
70345,1148,171,6167,1820,1107,20,38219
79550,1148,171,6167,1821,1104,19,38217
70229,1147,172,6167,1820,1104,19,38218
70180,1148,172,6167,1821,1103,19,38215
77102,1147,171,6167,1820,1105,19,38218
79701,1148,171,6167,1820,1103,19,38220
70357,1148,171,6167,1821,1101,19,38211
75935,1147,171,6167,1821,1104,19,38215
70369,1147,172,6166,1820,1105,20,38217
75772,1147,171,6166,1820,1104,19,38217
70355,1147,172,6167,1820,1103,19,38214
70317,1147,171,6167,1821,1105,19,38217
77213,1148,172,6168,1820,1104,19,38213
70255,1147,171,6167,1820,1103,19,38219
70345,1147,171,6167,1821,1102,19,38220
70356,1148,172,6168,1820,1107,19,38222
70357,1148,171,6167,1821,1105,19,38215
70333,1147,171,6167,1821,1105,19,38221
70292,1148,172,6167,1819,1106,19,38219
85166,1147,171,6167,1820,1105,20,38224
77314,1148,172,6168,1820,1105,19,38219
70393,1147,171,6167,1820,1104,19,38220
70307,1147,172,6167,1821,1105,19,38216
70381,1148,171,6167,1819,1104,19,38218
70395,1148,172,6166,1820,1103,20,38214
70369,1148,172,6167,1820,1104,20,38215
70328,1148,172,6168,1820,1104,19,38214
70341,1148,172,6167,1821,1104,19,38216
77241,1147,172,6167,1821,1105,19,38217
75809,1148,172,6167,1821,1105,19,38214
70481,1148,172,6167,1821,1107,19,38222
70468,1149,171,6168,1820,1104,19,38219
79750,1148,172,6167,1820,1105,19,38219
70356,1147,171,6167,1821,1104,19,38220
70355,1148,172,6167,1821,1103,19,38218
70280,1148,172,6167,1821,1103,19,38214
77228,1147,171,6167,1820,1103,18,38218
70355,1148,171,6167,1821,1104,19,38214
70406,1147,172,6167,1821,1106,19,38216
75748,1147,172,6167,1820,1104,19,38220
70457,1147,171,6167,1821,1104,19,38215
70469,1148,172,6167,1820,1105,19,38219
70317,1147,171,6167,1820,1105,19,38217
70316,1148,172,6167,1821,1104,19,38216
77315,1147,172,6166,1820,1104,19,38217
79736,1147,172,6167,1820,1100,19,38217
70406,1148,171,6168,1820,1104,20,38217
70419,1147,171,6167,1821,1105,19,38217
70420,1147,172,6167,1820,1103,20,38215
75822,1148,172,6167,1821,1103,19,38218
70356,1147,171,6167,1821,1104,20,38221
70368,1148,171,6168,1820,1106,19,38220
77139,1148,172,6166,1820,1104,19,38223
70343,1148,171,6167,1820,1102,19,38214
70380,1147,172,6167,1820,1102,19,38218
70407,1148,172,6167,1821,1105,19,38219
70358,1147,171,6167,1821,1104,19,38216
70343,1148,171,6168,1820,1104,20,38224
94359,1148,172,6167,1820,1104,19,38216
70343,1148,172,6167,1821,1107,19,38218
77264,1147,172,6167,1821,1102,19,38214
70394,1148,171,6166,1820,1105,19,38218
70369,1148,172,6166,1820,1103,19,38214
70431,1148,172,6167,1820,1105,19,38222
70444,1148,172,6166,1820,1105,18,38217
70369,1148,171,6167,1820,1105,19,38216
70317,1148,171,6168,1820,1103,19,38219
75608,1148,172,6166,1820,1105,20,38223
77241,1148,171,6167,1821,1105,19,38217
75834,1148,171,6166,1820,1104,19,38217
70420,1148,171,6167,1821,1104,19,38215
79902,1148,171,6167,1821,1105,19,38221
70356,1148,172,6167,1820,1106,19,38218
70418,1148,172,6166,1820,1104,19,38215
70366,1147,172,6167,1821,1103,19,38216
70367,1147,171,6167,1821,1104,19,38217
77277,1148,172,6167,1821,1105,19,38222
70405,1147,172,6167,1820,1104,19,38211
70457,1147,171,6167,1821,1103,19,38221
76035,1148,172,6166,1820,1102,19,38213
70432,1147,172,6167,1821,1106,19,38221
70368,1147,171,6166,1820,1106,19,38219
70266,1148,172,6166,1820,1106,19,38222
70305,1148,172,6167,1820,1104,19,38214
86609,1148,172,6167,1820,1104,19,38215
70443,1148,172,6167,1820,1102,19,38212
70406,1147,171,6166,1820,1103,19,38215
70406,1147,172,6167,1821,1106,19,38220
75836,1147,171,6167,1820,1103,19,38213
70393,1148,171,6166,1820,1106,19,38217
70417,1148,172,6168,1820,1103,19,38221
70355,1148,171,6167,1821,1105,19,38215
77215,1147,171,6167,1820,1104,19,38223
70329,1147,173,6167,1821,1104,19,38221
70395,1148,171,6167,1821,1103,19,38222
70407,1148,172,6167,1821,1106,20,38222
70506,1148,172,6167,1820,1102,19,38218
79750,1148,172,6167,1819,1104,19,38220
75972,1147,172,6167,1820,1105,19,38221
70405,1148,171,6167,1820,1106,20,38221
77264,1147,171,6167,1821,1106,19,38218
70344,1148,171,6167,1820,1102,19,38217
70380,1147,172,6167,1820,1101,19,38213
70382,1148,171,6167,1820,1106,19,38221
70395,1148,171,6166,1820,1102,19,38217
70381,1148,171,6168,1820,1103,18,38209
70329,1147,171,6167,1821,1107,19,38224
70343,1148,172,6167,1821,1104,19,38216
77214,1148,172,6167,1819,1101,19,38211
75835,1149,171,6168,1820,1105,19,38222
70431,1148,172,6166,1820,1105,19,38224
70432,1148,172,6167,1820,1104,20,38215
70307,1148,171,6167,1821,1104,19,38211
70331,1148,171,6168,1820,1103,19,38215
70318,1148,172,6167,1820,1105,19,38225
79524,1147,171,6167,1821,1102,18,38214
77253,1148,171,6167,1819,1105,18,38218
70330,1148,172,6167,1821,1103,19,38209
70420,1148,171,6167,1820,1106,19,38222
75897,1147,172,6167,1821,1104,20,38213
70471,1148,171,6167,1820,1102,19,38212
70394,1147,171,6167,1821,1105,20,38217
70304,1148,172,6167,1820,1102,19,38219
70292,1147,171,6167,1821,1102,20,38214
86547,1147,172,6166,1820,1104,19,38217
70355,1148,172,6167,1821,1104,19,38221
70406,1147,171,6167,1821,1103,19,38213
75797,1148,172,6167,1821,1103,19,38212
70433,1147,171,6167,1821,1104,19,38216
75959,1147,171,6167,1821,1104,20,38214
70393,1147,172,6167,1821,1103,19,38214
70367,1148,172,6167,1820,1104,20,38222
77264,1147,172,6167,1821,1104,19,38215
70344,1147,171,6167,1820,1100,19,38214
70343,1149,171,6167,1819,1104,19,38214
70382,1147,171,6167,1821,1102,19,38215
70446,1148,171,6167,1820,1103,19,38215
79763,1148,172,6167,1821,1104,19,38219
70291,1148,172,6168,1820,1102,19,38217
75621,1147,172,6167,1819,1103,19,38213
77252,1147,171,6167,1820,1104,19,38215
70381,1148,172,6167,1821,1105,19,38217
70331,1148,172,6166,1820,1103,19,38213
70381,1148,172,6167,1821,1105,19,38222
70432,1147,172,6167,1821,1103,19,38219
70331,1148,171,6167,1820,1106,18,38224
70418,1147,171,6167,1821,1105,19,38219
70332,1148,171,6166,1820,1104,20,38218
77240,1148,171,6167,1820,1103,19,38212
75834,1147,172,6167,1820,1103,19,38220
79925,1147,172,6166,1820,1104,19,38217
70431,1147,172,6167,1820,1101,19,38211
70369,1148,171,6167,1821,1103,19,38218
70357,1147,171,6166,1821,1101,19,38213
70316,1148,172,6167,1819,1106,19,38225
70317,1147,171,6167,1821,1105,19,38218
77253,1148,171,6166,1820,1105,19,38222
70355,1148,172,6167,1821,1102,19,38215
70407,1148,171,6167,1821,1103,19,38218
75885,1147,171,6166,1820,1105,19,38220
70420,1148,171,6167,1821,1104,20,38221
70406,1148,171,6167,1821,1101,19,38209
70354,1147,172,6168,1820,1104,19,38214
79749,1148,172,6167,1821,1106,19,38220
